name,enabled,n_phases,n_conds,base_freq,terminal1,terminal2,length,units,line_code,geometry
temp_sub,true,3,3,60,ls_bus,feederhead,0.001,none,,
oh_b13552,true,1,1,60,b12541.1,b13552.1,88.696797,m,oh-1x_4cu_4cun,
oh_b41869,true,2,2,60,b41868.1.2,b41869.1.2,57.911998,m,oh-2x_4cu_4cun,
oh_b34986,true,1,1,60,b4609.3,b34986.3,106.3752,m,oh-1x_4cu_4cun,
oh_g43133,true,1,1,60,g43132.3,g43133.3,46.329599,m,oh-1x_4cu_4cun,
oh_b18916,true,3,3,60,b18915.1.2.3,b18916.1.2.3,45.719999,m,oh-3x_1/0aaac_4cun,
oh_5862128364,true,3,3,60,b4833.1.2.3,5862128364.1.2.3,24.383999,m,oh-3x_2aaac_2aaacn,
oh_b4784,true,3,3,60,b4787.1.2.3,b4784.1.2.3,32.308799,m,oh-3x_477aac_4/0aaacn,
oh_b45835,true,1,1,60,b45833.2,b45835.2,130.1496,m,oh-1x_4cu_4cun,
oh_5925528209a,true,1,1,60,5925528209.3,5925528209a.3,61.264798,m,oh-1x_1/0acsr_1/0acsrn,
oh_b50640,true,1,1,60,6084829720.1,b50640.1,113.6904,m,oh-1x_4cu_4cun,
oh_b4805,true,3,3,60,b4806.1.2.3,b4805.1.2.3,24.688799,m,oh-3x_477aac_4/0aaacn,
oh_b4710,true,3,3,60,b4711.1.2.3,b4710.1.2.3,35.966399,m,oh-3x_477aac_4cun,
oh_b56678,true,1,1,60,b56675.2,b56678.2,152.0952,m,oh-1x_4cu_4cun,
oh_b4859,true,3,3,60,b4861.1.2.3,b4859.1.2.3,56.997598,m,oh-3x_477aac_4/0aaacn,
oh_b41240,true,1,1,60,b10374.1,b41240.1,51.511198,m,oh-1x_4cu_4cun,
oh_b55546,true,1,1,60,b55545.3,b55546.3,30.479999,m,oh-1x_4cu_4cun,
oh_b18979,true,1,1,60,b18978.3,b18979.3,46.634399,m,oh-1x_4cu_4cun,
oh_b4982,true,3,3,60,b4987.1.2.3,b4982.1.2.3,189.58559,m,oh-3x_477aac_4/0aaacn,
oh_b18902,true,3,3,60,b18901.1.2.3,b18902.1.2.3,38.099999,m,oh-3x_1/0aaac_1/0aaacn,
oh_b2532,true,3,3,60,b2526.1.2.3,b2532.1.2.3,93.26879700000001,m,oh-3x_477aac_4/0aaacn,
oh_b60891,true,1,1,60,b60890.2,b60891.2,48.158398,m,oh-1x_4cu_4cun,
oh_b47668,true,3,3,60,b47667.1.2.3,b47668.1.2.3,60.959998,m,oh-3x_4cu_4cun,
oh_b57845,true,1,1,60,b41462.3,b57845.3,23.164799,m,oh-1x_4cu_4cun,
oh_b4891,true,3,3,60,b4896.1.2.3,b4891.1.2.3,117.6528,m,oh-3x_477aac_4/0aaacn,
oh_b18858,true,3,3,60,b18856.1.2.3,b18858.1.2.3,89.611197,m,oh-3x_1/0aaac_1/0aaacn,
oh_b33451,true,2,2,60,b19064.1.3,b33451.1.3,79.857597,m,oh-2x_4cu_4cun,
oh_b61746,true,1,1,60,b60403.2,b61746.2,99.669597,m,oh-1x_4cu_4cun,
oh_b56664,true,1,1,60,b56663.2,b56664.2,44.500799,m,oh-1x_4cu_4cun,
oh_b39819,true,1,1,60,b39817.3,b39819.3,121.92,m,oh-1x_4cu_4cun,
oh_5851228580,true,1,1,60,b16708.3,5851228580.3,88.391997,m,oh-1x_2aaac_2aaacn,
oh_b18971,true,1,1,60,b18969.3,b18971.3,87.172797,m,oh-1x_4cu_4cun,
oh_5918528239,true,1,1,60,g42392.3,5918528239.3,27.431999,m,oh-1x_2aaac_2aaacn,
oh_b8019,true,1,1,60,b19004.3,b8019.3,112.1664,m,oh-1x_4cu_4cun,
oh_b31756,true,1,1,60,b2648.3,b31756.3,188.06159,m,oh-1x_477aac_4/0aaacn,
oh_b60843,true,1,1,60,b60842.3,b60843.3,48.158398,m,oh-1x_4cu_4cun,
oh_6095529388,true,1,1,60,b18997.3,6095529388.3,26.212799,m,oh-1x_2aaac_2aaacn,
oh_b44432,true,1,1,60,b26169.3,b44432.3,102.7176,m,oh-1x_4cu_4cun,
oh_b52584,true,1,1,60,b52582.2,b52584.2,162.45839,m,oh-1x_4cu_4cun,
oh_b41463,true,1,1,60,b24504.3,b41463.3,51.206398,m,oh-1x_4cu_4cun,
oh_5905728658,true,1,1,60,5906628649.2,5905728658.2,38.099999,m,oh-1x_2aaac_2aaacn,
oh_b24227,true,1,1,60,b15845.3,b24227.3,44.195999,m,oh-1x_4cu_4cun,
oh_b18884,true,3,3,60,b18882.1.2.3,b18884.1.2.3,91.43999700000001,m,oh-3x_1/0aaac_1/0aaacn,
oh_b15821,true,1,1,60,b13932.3,b15821.3,102.4128,m,oh-1x_4cu_4cun,
oh_b388,true,3,3,60,b4888.1.2.3,b388.1.2.3,35.661599,m,oh-3x_4cu_4cun,
oh_b18938,true,3,3,60,b18936.1.2.3,b18938.1.2.3,91.43999700000001,m,oh-3x_4cu_4cun,
oh_b47665,true,3,3,60,b19046.1.2.3,b47665.1.2.3,15.24,m,oh-3x_4cu_4cun,
oh_b61248,true,1,1,60,b60928.3,b61248.3,18.897599,m,oh-1x_4cu_4cun,
oh_b18850,true,3,3,60,b18849.1.2.3,b18850.1.2.3,44.195998,m,oh-3x_1/0aaac_1/0aaacn,
oh_b4962,true,3,3,60,b4963.1.2.3,b4962.1.2.3,64.007998,m,oh-3x_477aac_4/0aaacn,
oh_b18866,true,3,3,60,b18865reg.1.2.3,b18866.1.2.3,45.719998,m,oh-3x_1/0aaac_1/0aaacn,
ug_6060229368,true,1,1,60,b19018.2,6060229368.2,203.60639,m,ug-1c1/0alurd_15,
