name,enabled,n_phases,n_conds,base_freq,terminal1,kv,kw,kvar,kva,pf,model,vmin_pu,vmax_pu,r_neut,x_neut,connection,spec_type,status,yearly,daily,duty,spectrum
aggregate_load,true,3,4,60,ls_bus.1.2.3,12.47,5000,-1015.293303170021,5102.040816326531,-0.98,cvr,0.95,1.05,-1,0,wye,kw_pf,variable,AggLoadProfile,,,defaultload
b13552-1-a_cust4,true,1,2,60,x_b13552_cust4-a.1,0.24,2.68970725,1.954587875,3.324896818218511,0.8089596150057831,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,Other,,,defaultload
b13552-1-a_cust3,true,1,2,60,x_b13552_cust3-a.1,0.24,2.68970725,1.954587875,3.324896818218511,0.8089596150057831,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,Other,,,defaultload
b13552-1-a_cust2,true,1,2,60,x_b13552_cust2-a.1,0.24,2.68970725,1.954587875,3.324896818218511,0.8089596150057831,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,Other,,,defaultload
b13552-1-a_cust1,true,1,2,60,x_b13552_cust1-a.1,0.24,2.68970725,1.954587875,3.324896818218511,0.8089596150057831,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,Other,,,defaultload
b34986-1-c_cust1,true,1,2,60,x_b34986_cust1-c.3,0.24,5.1609036,3.2573962,6.102913728070175,0.8456458390133509,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,Other,,,defaultload
b45835-1-b_cust2,true,1,2,60,x_b45835_cust2-b.2,0.24,3.52214295,2.3440292,4.230834888138197,0.8324935959743727,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,Other,,,defaultload
b45835-1-b_cust1,true,1,2,60,x_b45835_cust1-b.2,0.24,3.52214295,2.3440292,4.230834888138197,0.8324935959743727,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,Other,,,defaultload
b50640-1-a_cust1,true,1,2,60,x_b50640_cust1-a.1,0.24,4.0345608,2.9318818,4.987345159307494,0.8089596110007774,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,Other,,,defaultload
b4805-1-c_cust6,true,1,2,60,x_b4805_cust6-c.3,0.24,1.72030116666667,1.08579873333333,2.034304547835198,0.8456458343453667,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,Other,,,defaultload
b4805-1-c_cust5,true,1,2,60,x_b4805_cust5-c.3,0.24,1.72030116666667,1.08579873333333,2.034304547835198,0.8456458343453667,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,Other,,,defaultload
b4805-1-c_cust4,true,1,2,60,x_b4805_cust4-c.3,0.24,1.72030116666667,1.08579873333333,2.034304547835198,0.8456458343453667,cvr,0.95,1.05,-1,0,wye,kw_kvar,variable,Other,,,defaultload
