transformer,winding,terminal,connection,kv,kva,tap,r_pct,r_neut,x_neut,max_tap,min_tap,num_taps
subxfmr,1,s,wye,68.8,16000,1,0.00596,-1,0,1.1,0.9,32
subxfmr,2,ls_bus,wye,13.09,16000,1.0125,0.00596,-1,0,1.1,0.9,16
b13552-1a,1,b13552.1,wye,7.2,40,1,0.0036105,-1,0,1.1,0.9,32
b13552-1a,2,x_b13552-a.1,wye,0.24,40,1,0.0036105,-1,0,1.1,0.9,32
b34986-1c,1,b34986.3,wye,7.2,25,1,0.0038195,-1,0,1.1,0.9,32
b34986-1c,2,x_b34986-c.3,wye,0.24,25,1,0.0038195,-1,0,1.1,0.9,32
b45835-1b,1,b45835.2,wye,7.2,25,1,0.0038195,-1,0,1.1,0.9,32
b45835-1b,2,x_b45835-b.2,wye,0.24,25,1,0.0038195,-1,0,1.1,0.9,32
b50640-1a,1,b50640.1,wye,7.2,15,1,0.0052,-1,0,1.1,0.9,32
b50640-1a,2,x_b50640-a.1,wye,0.24,15,1,0.0052,-1,0,1.1,0.9,32
b4805-1c,1,b4805.3,wye,7.2,50,1,0.00369,-1,0,1.1,0.9,32
b4805-1c,2,x_b4805-c.3,wye,0.24,50,1,0.00369,-1,0,1.1,0.9,32
b4710-1a,1,b4710.1,wye,7.2,15,1,0.0052,-1,0,1.1,0.9,32
b4710-1a,2,x_b4710-a.1,wye,0.24,15,1,0.0052,-1,0,1.1,0.9,32
b4859-1a,1,b4859.1,wye,7.2,25,1,0.0038195,-1,0,1.1,0.9,32
b4859-1a,2,x_b4859-a.1,wye,0.24,25,1,0.0038195,-1,0,1.1,0.9,32
b4859-1b,1,b4859.2,wye,7.2,25,1,0.0038195,-1,0,1.1,0.9,32
b4859-1b,2,x_b4859-b.2,wye,0.24,25,1,0.0038195,-1,0,1.1,0.9,32
b4859-1c,1,b4859.3,wye,7.2,25,1,0.0038195,-1,0,1.1,0.9,32
b4859-1c,2,x_b4859-c.3,wye,0.24,25,1,0.0038195,-1,0,1.1,0.9,32
b41240-1a,1,b41240.1,wye,7.2,15,1,0.0052,-1,0,1.1,0.9,32
b41240-1a,2,x_b41240-a.1,wye,0.24,15,1,0.0052,-1,0,1.1,0.9,32
b55546-1c,1,b55546.3,wye,7.2,15,1,0.0052,-1,0,1.1,0.9,32
b55546-1c,2,x_b55546-c.3,wye,0.24,15,1,0.0052,-1,0,1.1,0.9,32
b18979-1c,1,b18979.3,wye,7.2,15,1,0.0052,-1,0,1.1,0.9,32
b18979-1c,2,x_b18979-c.3,wye,0.24,15,1,0.0052,-1,0,1.1,0.9,32
b4982-1b,1,b4982.2,wye,7.2,15,1,0.0052,-1,0,1.1,0.9,32
b4982-1b,2,x_b4982-b.2,wye,0.24,15,1,0.0052,-1,0,1.1,0.9,32
b18902-1a,1,b18902.1,wye,7.2,15,1,0.0052,-1,0,1.1,0.9,32
b18902-1a,2,x_b18902-a.1,wye,0.24,15,1,0.0052,-1,0,1.1,0.9,32
b2532-1a,1,b2532.1,wye,7.2,15,1,0.0052,-1,0,1.1,0.9,32
b2532-1a,2,x_b2532-a.1,wye,0.24,15,1,0.0052,-1,0,1.1,0.9,32
b47668-1a,1,b47668.1,wye,7.2,15,1,0.0052,-1,0,1.1,0.9,32
b47668-1a,2,x_b47668-a.1,wye,0.24,15,1,0.0052,-1,0,1.1,0.9,32
b47668-1b,1,b47668.2,wye,7.2,15,1,0.0052,-1,0,1.1,0.9,32
b47668-1b,2,x_b47668-b.2,wye,0.24,15,1,0.0052,-1,0,1.1,0.9,32
b47668-1c,1,b47668.3,wye,7.2,15,1,0.0052,-1,0,1.1,0.9,32
b47668-1c,2,x_b47668-c.3,wye,0.24,15,1,0.0052,-1,0,1.1,0.9,32
b4891-1c,1,b4891.3,wye,7.2,25,1,0.0038195,-1,0,1.1,0.9,32
